Geographic area,Indicator,Sex,Wealth Quintile,Series Name,Series Year,Regional group,TIME_PERIOD,OBS_VALUE,COUNTRY_NOTES,CONNECTION,DEATH_CATEGORY,CATEGORY,Observation Status,Unit of measure,Series Category,Series Type,STD_ERR,REF_DATE,Age Group of Women,Time Since First Birth,DEFINITION,INTERVAL,Series Method,LOWER_BOUND,UPPER_BOUND,STATUS,YEAR_TO_ACHIEVE,Model Used
Nigeria,Neonatal mortality rate,Total,Total,World Fertility Survey 1981-1982 (Direct),1981-1982,,1958-06,67.19,,,,,Excluded from IGME,"Deaths per 1,000 live births",WFS,Direct,9,1958.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,World Fertility Survey 1981-1982 (Direct),1981-1982,,1963-06,48.17,,,,,Excluded from IGME,"Deaths per 1,000 live births",WFS,Direct,5.17,1963.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,World Fertility Survey 1981-1982 (Direct),1981-1982,,1968-06,56.85,,,,,Excluded from IGME,"Deaths per 1,000 live births",WFS,Direct,5.93,1968.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,World Fertility Survey 1981-1982 (Direct),1981-1982,,1973-06,47.23,,,,,Excluded from IGME,"Deaths per 1,000 live births",WFS,Direct,4.06,1973.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,World Fertility Survey 1981-1982 (Direct),1981-1982,,1978-06,42.08,,,,,Excluded from IGME,"Deaths per 1,000 live births",WFS,Direct,3.26,1978.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2008 (Direct),2008,,1985-06,46,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,2.94,1985.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2008 (Direct),2008,,1990-06,50.12,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,2.65,1990.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2008 (Direct),2008,,1995-06,50.73,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,2.28,1995.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2008 (Direct),2008,,2000-06,52.42,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,1.98,2000.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2008 (Direct),2008,,2005-06,39.63,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,1.59,2005.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2003 (Direct),2003,,1980-06,54.54,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,6.31,1980.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2003 (Direct),2003,,1985-06,51.66,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,5.27,1985.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2003 (Direct),2003,,1990-06,54.88,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,3.94,1990.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2003 (Direct),2003,,1995-06,58.64,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,4.3,1995.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2003 (Direct),2003,,2000-06,47.84,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,3.54,2000.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Multiple Indicator Cluster Survey 2021 (Direct),2021,,1998-06,46.05288795,,,,,Excluded from IGME,"Deaths per 1,000 live births",MICS,Direct,3.523941109,1998.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Multiple Indicator Cluster Survey 2021 (Direct),2021,,2003-06,32.31178268,,,,,Excluded from IGME,"Deaths per 1,000 live births",MICS,Direct,2.304103692,2003.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Multiple Indicator Cluster Survey 2021 (Direct),2021,,2008-06,32.26105097,,,,,Excluded from IGME,"Deaths per 1,000 live births",MICS,Direct,1.922678788,2008.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Multiple Indicator Cluster Survey 2021 (Direct),2021,,2013-06,31.02260478,,,,,Excluded from IGME,"Deaths per 1,000 live births",MICS,Direct,1.846361163,2013.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Multiple Indicator Cluster Survey 2021 (Direct),2021,,2018-06,33.97353815,,,,,Excluded from IGME,"Deaths per 1,000 live births",MICS,Direct,1.687932516,2018.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2018 (Direct),2018,,1995-06,38.46022,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,3.64157,1995.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2018 (Direct),2018,,2000-06,38.79018,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,4.005924,2000.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2018 (Direct),2018,,2005-06,32.33979,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,2.231253,2005.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2018 (Direct),2018,,2010-06,33.93754,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,2.122198,2010.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2018 (Direct),2018,,2015-06,38.21482,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,2.127269,2015.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1990 (Direct),1990,,1967-06,67.6,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,6.93,1967.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1990 (Direct),1990,,1972-06,61.93,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,7.85,1972.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1990 (Direct),1990,,1977-06,57.01,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,5.68,1977.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1990 (Direct),1990,,1982-06,47.68,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,4.18,1982.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1990 (Direct),1990,,1987-06,42.26,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,2.91,1987.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2013 (Direct),2013,,1990-06,45.77,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,5.13,1990.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2013 (Direct),2013,,1995-06,48.5,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,5.48,1995.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2013 (Direct),2013,,2000-06,46.34,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,3.38,2000.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2013 (Direct),2013,,2005-06,44.17,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,3.3,2005.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2013 (Direct),2013,,2010-06,36.57,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,3.9,2010.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1999 (Direct),1999,,1976-06,44.84,,,,,Excluded from IGME,"Deaths per 1,000 live births",NDHS,Direct,5.63,1976.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1999 (Direct),1999,,1981-06,37.55,,,,,Excluded from IGME,"Deaths per 1,000 live births",NDHS,Direct,4.36,1981.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1999 (Direct),1999,,1986-06,35.59,,,,,Excluded from IGME,"Deaths per 1,000 live births",NDHS,Direct,3.39,1986.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1999 (Direct),1999,,1991-06,32.62,,,,,Excluded from IGME,"Deaths per 1,000 live births",NDHS,Direct,2.88,1991.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1999 (Direct),1999,,1996-06,35.71,,,,,Excluded from IGME,"Deaths per 1,000 live births",NDHS,Direct,2.85,1996.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Multiple Indicator Cluster Survey 2016-2017 (Direct),2016-2017,,1993-06,46.83805,,,,,Excluded from IGME,"Deaths per 1,000 live births",MICS,Direct,3.654062,1993.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Multiple Indicator Cluster Survey 2016-2017 (Direct),2016-2017,,1998-06,48.65658,,,,,Excluded from IGME,"Deaths per 1,000 live births",MICS,Direct,2.756106,1998.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Multiple Indicator Cluster Survey 2016-2017 (Direct),2016-2017,,2003-06,38.09559,,,,,Excluded from IGME,"Deaths per 1,000 live births",MICS,Direct,1.991485,2003.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Multiple Indicator Cluster Survey 2016-2017 (Direct),2016-2017,,2008-06,36.26952,,,,,Excluded from IGME,"Deaths per 1,000 live births",MICS,Direct,1.668557,2008.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Multiple Indicator Cluster Survey 2016-2017 (Direct),2016-2017,,2013-06,38.08672,,,,,Excluded from IGME,"Deaths per 1,000 live births",MICS,Direct,1.614622,2013.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Malaria Indicator Survey 2010 (Direct),2010,,1987-06,47.31,,,,,Included in IGME,"Deaths per 1,000 live births",MIS,Direct,8.07,1987.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Malaria Indicator Survey 2010 (Direct),2010,,1992-06,56.54,,,,,Included in IGME,"Deaths per 1,000 live births",MIS,Direct,9.21,1992.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Malaria Indicator Survey 2010 (Direct),2010,,1997-06,50.08,,,,,Included in IGME,"Deaths per 1,000 live births",MIS,Direct,6.59,1997.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Malaria Indicator Survey 2010 (Direct),2010,,2002-06,49.49,,,,,Included in IGME,"Deaths per 1,000 live births",MIS,Direct,4.99,2002.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Malaria Indicator Survey 2010 (Direct),2010,,2007-06,43.13,,,,,Included in IGME,"Deaths per 1,000 live births",MIS,Direct,3.98,2007.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1967-06,69.67929997,,,,,Normal value,"Deaths per 1,000 live births",,,,1967.5,,,,1,,58.36872303,83.70962462,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1968-06,68.74553145,,,,,Normal value,"Deaths per 1,000 live births",,,,1968.5,,,,1,,57.946728,81.97698706,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1969-06,67.68076351,,,,,Normal value,"Deaths per 1,000 live births",,,,1969.5,,,,1,,57.31752031,80.39783524,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1970-06,66.44873961,,,,,Normal value,"Deaths per 1,000 live births",,,,1970.5,,,,1,,56.485556,78.57146715,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1971-06,65.21688846,,,,,Normal value,"Deaths per 1,000 live births",,,,1971.5,,,,1,,55.48804227,76.71904291,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1972-06,63.90159976,,,,,Normal value,"Deaths per 1,000 live births",,,,1972.5,,,,1,,54.48522195,74.95525133,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1973-06,62.51562891,,,,,Normal value,"Deaths per 1,000 live births",,,,1973.5,,,,1,,53.59195363,73.15831897,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1974-06,61.19334959,,,,,Normal value,"Deaths per 1,000 live births",,,,1974.5,,,,1,,52.78400171,71.32673757,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1975-06,59.83470444,,,,,Normal value,"Deaths per 1,000 live births",,,,1975.5,,,,1,,51.86610448,69.51040859,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1976-06,58.52136506,,,,,Normal value,"Deaths per 1,000 live births",,,,1976.5,,,,1,,50.81879771,67.73487726,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1977-06,57.23549142,,,,,Normal value,"Deaths per 1,000 live births",,,,1977.5,,,,1,,49.82055654,65.86044806,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1978-06,55.88075808,,,,,Normal value,"Deaths per 1,000 live births",,,,1978.5,,,,1,,48.72194265,64.07450083,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1979-06,54.66203534,,,,,Normal value,"Deaths per 1,000 live births",,,,1979.5,,,,1,,47.8937953,62.42801852,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1980-06,53.48398406,,,,,Normal value,"Deaths per 1,000 live births",,,,1980.5,,,,1,,46.90743504,60.75246482,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1981-06,52.41360129,,,,,Normal value,"Deaths per 1,000 live births",,,,1981.5,,,,1,,46.0125981,59.34554894,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1982-06,51.56006423,,,,,Normal value,"Deaths per 1,000 live births",,,,1982.5,,,,1,,45.17958433,58.17729679,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1983-06,50.83906004,,,,,Normal value,"Deaths per 1,000 live births",,,,1983.5,,,,1,,44.57840245,57.33447876,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1984-06,50.25100013,,,,,Normal value,"Deaths per 1,000 live births",,,,1984.5,,,,1,,44.19757691,56.58688708,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1985-06,49.82706954,,,,,Normal value,"Deaths per 1,000 live births",,,,1985.5,,,,1,,43.78423963,56.09228602,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1986-06,49.60259438,,,,,Normal value,"Deaths per 1,000 live births",,,,1986.5,,,,1,,43.65634823,55.83853458,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1987-06,49.61664324,,,,,Normal value,"Deaths per 1,000 live births",,,,1987.5,,,,1,,43.65337722,55.69415886,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1988-06,49.65371258,,,,,Normal value,"Deaths per 1,000 live births",,,,1988.5,,,,1,,43.69625619,55.76305396,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1989-06,49.74539729,,,,,Normal value,"Deaths per 1,000 live births",,,,1989.5,,,,1,,43.88082434,55.70449985,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1990-06,49.82890273,,,,,Normal value,"Deaths per 1,000 live births",,,,1990.5,,,,1,,44.15402732,55.74804357,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1991-06,49.95988762,,,,,Normal value,"Deaths per 1,000 live births",,,,1991.5,,,,1,,44.25167258,55.86281842,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1992-06,50.02976306,,,,,Normal value,"Deaths per 1,000 live births",,,,1992.5,,,,1,,44.32936351,55.94575233,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1993-06,50.07306312,,,,,Normal value,"Deaths per 1,000 live births",,,,1993.5,,,,1,,44.41228131,56.02858487,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1994-06,49.9588346,,,,,Normal value,"Deaths per 1,000 live births",,,,1994.5,,,,1,,44.45247452,55.86076079,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1995-06,49.78765865,,,,,Normal value,"Deaths per 1,000 live births",,,,1995.5,,,,1,,44.43938027,55.66786594,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1996-06,49.46591542,,,,,Normal value,"Deaths per 1,000 live births",,,,1996.5,,,,1,,44.13028993,55.34002202,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1997-06,48.96224774,,,,,Normal value,"Deaths per 1,000 live births",,,,1997.5,,,,1,,43.70386828,54.6816463,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1998-06,48.23913391,,,,,Normal value,"Deaths per 1,000 live births",,,,1998.5,,,,1,,43.17061876,53.88733654,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,1999-06,47.38791111,,,,,Normal value,"Deaths per 1,000 live births",,,,1999.5,,,,1,,42.44573485,52.89308321,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2000-06,46.45340275,,,,,Normal value,"Deaths per 1,000 live births",,,,2000.5,,,,1,,41.53965007,51.76271437,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2001-06,45.32572632,,,,,Normal value,"Deaths per 1,000 live births",,,,2001.5,,,,1,,40.45540039,50.58595448,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2002-06,44.10249401,,,,,Normal value,"Deaths per 1,000 live births",,,,2002.5,,,,1,,39.2408594,49.2394861,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2003-06,42.89507424,,,,,Normal value,"Deaths per 1,000 live births",,,,2003.5,,,,1,,38.02557856,48.01033963,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2004-06,41.73990666,,,,,Normal value,"Deaths per 1,000 live births",,,,2004.5,,,,1,,36.97547667,46.7927452,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2005-06,40.73292982,,,,,Normal value,"Deaths per 1,000 live births",,,,2005.5,,,,1,,36.05616033,45.7244384,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2006-06,39.90053893,,,,,Normal value,"Deaths per 1,000 live births",,,,2006.5,,,,1,,35.23445979,44.86853517,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2007-06,39.25783539,,,,,Normal value,"Deaths per 1,000 live births",,,,2007.5,,,,1,,34.57522664,44.14679125,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2008-06,38.72629357,,,,,Normal value,"Deaths per 1,000 live births",,,,2008.5,,,,1,,34.02691714,43.63951502,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2009-06,38.30725956,,,,,Normal value,"Deaths per 1,000 live births",,,,2009.5,,,,1,,33.61581288,43.31452862,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2010-06,37.97539724,,,,,Normal value,"Deaths per 1,000 live births",,,,2010.5,,,,1,,33.18731662,43.07475558,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2011-06,37.72163874,,,,,Normal value,"Deaths per 1,000 live births",,,,2011.5,,,,1,,32.79523348,43.10910851,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2012-06,37.47906829,,,,,Normal value,"Deaths per 1,000 live births",,,,2012.5,,,,1,,32.42440631,43.24458137,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2013-06,37.34578721,,,,,Normal value,"Deaths per 1,000 live births",,,,2013.5,,,,1,,31.99304887,43.62308512,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2014-06,37.25280229,,,,,Normal value,"Deaths per 1,000 live births",,,,2014.5,,,,1,,31.50772921,44.03009941,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2015-06,37.15277874,,,,,Normal value,"Deaths per 1,000 live births",,,,2015.5,,,,1,,30.97768974,44.66174603,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2016-06,36.95019336,,,,,Normal value,"Deaths per 1,000 live births",,,,2016.5,,,,1,,30.21888213,45.40560852,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2017-06,36.68193495,,,,,Normal value,"Deaths per 1,000 live births",,,,2017.5,,,,1,,29.44318048,46.14054277,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2018-06,36.34871247,,,,,Normal value,"Deaths per 1,000 live births",,,,2018.5,,,,1,,28.38301013,46.99914439,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2019-06,35.85355614,,,,,Normal value,"Deaths per 1,000 live births",,,,2019.5,,,,1,,27.18439948,47.93077865,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2020-06,35.29065211,,,,,Normal value,"Deaths per 1,000 live births",,,,2020.5,,,,1,,25.99746089,48.82031565,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2021-06,34.80705611,,,,,Normal value,"Deaths per 1,000 live births",,,,2021.5,,,,1,,24.85330907,49.6617308,,,
Nigeria,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,,2022-06,34.32444157,,,,,Normal value,"Deaths per 1,000 live births",,,,2022.5,,,,1,,23.71992867,50.71683803,,,
Nigeria,Mortality rate age 1-11 months,Total,Total,UN IGME estimate,2021,,1967-06,120.1764446,,,,,Normal value,"Deaths per 1,000 children aged 1 month",,,,1967.5,,,,1,,102.7438057,140.10245,,,
Nigeria,Mortality rate age 1-11 months,Total,Total,UN IGME estimate,2021,,1968-06,116.484607,,,,,Normal value,"Deaths per 1,000 children aged 1 month",,,,1968.5,,,,1,,100.2073443,135.3987256,,,
Nigeria,Mortality rate age 1-11 months,Total,Total,UN IGME estimate,2021,,1969-06,112.8499158,,,,,Normal value,"Deaths per 1,000 children aged 1 month",,,,1969.5,,,,1,,97.32482453,130.8524097,,,
Nigeria,Mortality rate age 1-11 months,Total,Total,UN IGME estimate,2021,,1970-06,109.1720172,,,,,Normal value,"Deaths per 1,000 children aged 1 month",,,,1970.5,,,,1,,94.16641706,126.1964521,,,
Nigeria,Mortality rate age 1-11 months,Total,Total,UN IGME estimate,2021,,1971-06,105.2417937,,,,,Normal value,"Deaths per 1,000 children aged 1 month",,,,1971.5,,,,1,,90.86292661,121.5780566,,,
Nigeria,Mortality rate age 1-11 months,Total,Total,UN IGME estimate,2021,,1972-06,101.1973579,,,,,Normal value,"Deaths per 1,000 children aged 1 month",,,,1972.5,,,,1,,87.49044823,116.6557802,,,
Nigeria,Mortality rate age 1-11 months,Total,Total,UN IGME estimate,2021,,1973-06,97.20355636,,,,,Normal value,"Deaths per 1,000 children aged 1 month",,,,1973.5,,,,1,,84.1971205,111.700054,,,
Nigeria,Mortality rate age 1-11 months,Total,Total,UN IGME estimate,2021,,1974-06,93.13782805,,,,,Normal value,"Deaths per 1,000 children aged 1 month",,,,1974.5,,,,1,,80.95174634,106.6304578,,,
Nigeria,Mortality rate age 1-11 months,Total,Total,UN IGME estimate,2021,,1975-06,89.37003253,,,,,Normal value,"Deaths per 1,000 children aged 1 month",,,,1975.5,,,,1,,77.98403979,101.7610227,,,
Nigeria,Mortality rate age 1-11 months,Total,Total,UN IGME estimate,2021,,1976-06,85.77512114,,,,,Normal value,"Deaths per 1,000 children aged 1 month",,,,1976.5,,,,1,,75.27360787,97.30909705,,,
Nigeria,Mortality rate age 1-11 months,Total,Total,UN IGME estimate,2021,,1977-06,82.60796128,,,,,Normal value,"Deaths per 1,000 children aged 1 month",,,,1977.5,,,,1,,72.92595051,93.42965811,,,
Nigeria,Mortality rate age 1-11 months,Total,Total,UN IGME estimate,2021,,1978-06,80.08198281,,,,,Normal value,"Deaths per 1,000 children aged 1 month",,,,1978.5,,,,1,,71.18270512,89.93733017,,,
Nigeria,Mortality rate age 1-11 months,Total,Total,UN IGME estimate,2021,,1979-06,78.23427454,,,,,Normal value,"Deaths per 1,000 children aged 1 month",,,,1979.5,,,,1,,69.74224833,87.29204337,,,
Nigeria,Mortality rate age 1-11 months,Total,Total,UN IGME estimate,2021,,1980-06,76.90734161,,,,,Normal value,"Deaths per 1,000 children aged 1 month",,,,1980.5,,,,1,,68.81392962,85.39326111,,,
Nigeria,Mortality rate age 1-11 months,Total,Total,UN IGME estimate,2021,,1981-06,76.12573457,,,,,Normal value,"Deaths per 1,000 children aged 1 month",,,,1981.5,,,,1,,68.2928143,84.23554282,,,
Nigeria,Mortality rate age 1-11 months,Total,Total,UN IGME estimate,2021,,1982-06,75.77339485,,,,,Normal value,"Deaths per 1,000 children aged 1 month",,,,1982.5,,,,1,,68.2232846,83.59980382,,,
Nigeria,Mortality rate age 1-11 months,Total,Total,UN IGME estimate,2021,,1983-06,75.95068739,,,,,Normal value,"Deaths per 1,000 children aged 1 month",,,,1983.5,,,,1,,68.63391382,83.63796473,,,
